Department Name,Municipality Name,Temperature
CUNDINAMARCA,SAN BERNARDO,18
CUNDINAMARCA,SAN CAYETANO,27
CUNDINAMARCA,SAN FRANCISCO,21
CUNDINAMARCA,SAN JUAN DE RIOSECO,22
CUNDINAMARCA,SASAIMA,18
CUNDINAMARCA,SESQUILE,14
CUNDINAMARCA,SIBATE,14
CUNDINAMARCA,SILVANIA,18
CUNDINAMARCA,SIMIJACA,14
CUNDINAMARCA,SOACHA,12
CUNDINAMARCA,SOPO,14
CUNDINAMARCA,SUBACHOQUE,14
CUNDINAMARCA,SUESCA,14
CUNDINAMARCA,SUPATA,18
CUNDINAMARCA,SUSA,14
CUNDINAMARCA,SUTATAUSA,14
CUNDINAMARCA,TABIO,14
CUNDINAMARCA,TAUSA,10
CUNDINAMARCA,TENA,18
CUNDINAMARCA,TENJO,14
CUNDINAMARCA,TIBACUY,18
CUNDINAMARCA,TIBIRITA,18
CUNDINAMARCA,TOCAIMA,27
CUNDINAMARCA,TOCANCIPA,14
CUNDINAMARCA,TOPAIPI,21
CUNDINAMARCA,UBALA,14
CUNDINAMARCA,UBAQUE,18
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,14
CUNDINAMARCA,UNE,14
CUNDINAMARCA,UTICA,27
CUNDINAMARCA,VERGARA,18
CUNDINAMARCA,VIANI,18
CUNDINAMARCA,VILLAGOMEZ,18
CUNDINAMARCA,VILLAPINZON,14
CUNDINAMARCA,VILLETA,21
CUNDINAMARCA,VIOTA,25
CUNDINAMARCA,YACOPI,21
CUNDINAMARCA,ZIPACON,14
CUNDINAMARCA,ZIPAQUIRA,14
CHOCÓ,QuibdO,
CHOCÓ,ACANDI,27
CHOCÓ,Alto BaudO,
CHOCÓ,Atrato,
CHOCÓ,BAGADO,27
CHOCÓ,CIUDAD MUTIS,27
CHOCÓ,PIZARRO,29
CHOCÓ,BELLAVISTA,27
CHOCÓ,MANAGRU,27
CHOCÓ,CURBARADO,27
CHOCÓ,CERTEGUI,27
CHOCÓ,CONDOTO,27
CHOCÓ,EL CARMEN DE ATRATO,18
CHOCÓ,SANTA GENOVEVA DE DOCORDO,25
CHOCÓ,ISTMINA,27
